Weighted Random Sampling Comparison on 100000 Trials
---------------------------------------------
Difference is bigger than 1% p in the following indices: []
Elapsed time: Fast: 11.217304916s, Fenwick: 3.988971458s

---------------------------------------------
Probability(%) of each element being selected:
Element	| Fast	| Fenw	| Diff(Max-Min)
---------------------------------------------
0	| 78.06	| 77.94	| 0.12
1	| 69.47	| 69.80	| 0.33
2	| 56.23	| 56.17	| 0.06
3	| 11.02	| 11.06	| 0.04
4	| 75.78	| 75.82	| 0.04
5	| 68.92	| 68.85	| 0.07
6	| 15.16	| 14.99	| 0.16
7	| 72.02	| 72.16	| 0.14
8	| 32.76	| 32.52	| 0.24
9	| 72.70	| 72.63	| 0.07
10	| 71.05	| 71.37	| 0.33
11	| 75.72	| 76.02	| 0.30
12	| 56.67	| 56.43	| 0.24
13	| 67.09	| 66.65	| 0.44
14	| 71.56	| 71.90	| 0.34
15	| 73.68	| 73.71	| 0.03
16	| 73.11	| 73.02	| 0.09
17	| 46.70	| 47.05	| 0.35
18	| 41.38	| 41.23	| 0.15
19	| 68.33	| 68.03	| 0.30
20	| 76.56	| 76.42	| 0.13
21	| 30.45	| 30.47	| 0.01
22	| 38.98	| 38.82	| 0.16
23	| 41.59	| 41.37	| 0.22
24	| 51.16	| 51.10	| 0.06
25	| 77.56	| 77.63	| 0.06
26	| 74.34	| 74.65	| 0.31
27	| 64.63	| 64.39	| 0.24
28	| 18.34	| 18.25	| 0.09
29	| 62.67	| 62.58	| 0.10
30	| 45.91	| 45.87	| 0.04
31	| 77.45	| 77.45	| 0.00
32	| 62.80	| 62.74	| 0.06
33	| 15.20	| 15.16	| 0.04
34	| 3.55	| 3.73	| 0.18
35	| 32.89	| 33.16	| 0.27
36	| 44.99	| 45.50	| 0.51
37	| 76.57	| 76.68	| 0.12
38	| 54.87	| 54.99	| 0.12
39	| 70.81	| 70.73	| 0.08
40	| 62.25	| 61.90	| 0.35
41	| 8.21	| 8.38	| 0.17
42	| 38.29	| 38.61	| 0.32
43	| 76.15	| 76.10	| 0.05
44	| 76.04	| 76.25	| 0.21
45	| 35.37	| 35.25	| 0.11
46	| 77.09	| 76.98	| 0.11
47	| 32.35	| 31.92	| 0.43
48	| 76.23	| 76.41	| 0.18
49	| 75.22	| 75.32	| 0.11
50	| 77.68	| 77.85	| 0.17
51	| 69.87	| 69.67	| 0.20
52	| 31.88	| 31.77	| 0.11
53	| 46.53	| 46.37	| 0.15
54	| 34.69	| 34.47	| 0.22
55	| 0.41	| 0.41	| 0.00
56	| 3.92	| 4.16	| 0.24
57	| 11.95	| 11.95	| 0.01
58	| 58.77	| 58.72	| 0.05
59	| 48.71	| 48.71	| 0.00
60	| 40.13	| 40.55	| 0.42
61	| 70.30	| 70.11	| 0.18
62	| 29.52	| 29.61	| 0.09
63	| 3.02	| 3.01	| 0.01
64	| 29.30	| 29.31	| 0.02
65	| 33.47	| 33.93	| 0.47
66	| 23.50	| 23.44	| 0.06
67	| 72.71	| 72.91	| 0.21
68	| 12.41	| 12.57	| 0.17
69	| 74.03	| 73.94	| 0.09
70	| 55.12	| 55.25	| 0.13
71	| 5.00	| 5.11	| 0.12
72	| 36.95	| 37.08	| 0.12
73	| 74.37	| 74.19	| 0.18
74	| 72.56	| 72.57	| 0.01
75	| 50.40	| 49.98	| 0.43
76	| 45.77	| 45.81	| 0.04
77	| 64.55	| 64.19	| 0.36
78	| 72.06	| 72.02	| 0.04
79	| 64.40	| 64.14	| 0.26
80	| 30.43	| 30.39	| 0.04
81	| 58.30	| 58.48	| 0.18
82	| 29.71	| 29.76	| 0.05
83	| 69.02	| 69.01	| 0.01
84	| 26.63	| 26.43	| 0.19
85	| 35.08	| 35.09	| 0.01
86	| 62.06	| 62.21	| 0.15
87	| 36.28	| 36.12	| 0.16
88	| 56.28	| 56.48	| 0.20
89	| 33.91	| 33.86	| 0.06
90	| 38.30	| 38.26	| 0.04
91	| 7.17	| 7.13	| 0.04
92	| 76.38	| 76.33	| 0.05
93	| 60.17	| 60.40	| 0.23
94	| 69.94	| 70.26	| 0.32
95	| 70.67	| 70.48	| 0.18
96	| 69.01	| 69.01	| 0.01
97	| 61.63	| 61.30	| 0.33
98	| 40.82	| 40.62	| 0.20
99	| 44.12	| 44.15	| 0.03
100	| 66.29	| 66.16	| 0.13
101	| 34.83	| 34.89	| 0.06
102	| 3.69	| 3.86	| 0.18
103	| 72.08	| 72.21	| 0.14
104	| 56.12	| 56.16	| 0.04
105	| 50.50	| 50.42	| 0.08
106	| 56.61	| 56.60	| 0.02
107	| 61.73	| 61.59	| 0.15
108	| 39.61	| 39.63	| 0.02
109	| 33.16	| 33.02	| 0.14
110	| 67.67	| 67.15	| 0.52
111	| 42.62	| 42.39	| 0.23
112	| 50.67	| 50.47	| 0.20
113	| 71.20	| 71.31	| 0.11
114	| 63.68	| 63.70	| 0.02
115	| 69.86	| 69.92	| 0.05
116	| 72.72	| 72.78	| 0.06
117	| 70.68	| 70.61	| 0.07
118	| 19.45	| 19.54	| 0.09
119	| 78.36	| 78.31	| 0.06
120	| 49.54	| 49.91	| 0.37
121	| 61.09	| 61.15	| 0.06
122	| 27.91	| 28.02	| 0.11
123	| 24.41	| 24.36	| 0.05
124	| 0.67	| 0.69	| 0.02
125	| 53.53	| 53.51	| 0.02
126	| 71.40	| 71.50	| 0.10
127	| 75.24	| 75.27	| 0.03
128	| 12.64	| 12.60	| 0.04
129	| 74.34	| 74.21	| 0.13
130	| 60.66	| 60.36	| 0.30
131	| 60.55	| 60.71	| 0.16
132	| 43.55	| 43.03	| 0.52
133	| 65.96	| 66.05	| 0.09
134	| 78.34	| 78.22	| 0.12
135	| 25.57	| 25.31	| 0.26
136	| 48.05	| 47.96	| 0.09
137	| 4.18	| 4.14	| 0.04
138	| 45.19	| 45.13	| 0.06
139	| 36.43	| 36.44	| 0.01
140	| 63.28	| 63.12	| 0.15
141	| 70.02	| 70.16	| 0.14
142	| 14.46	| 14.70	| 0.24
143	| 46.67	| 46.65	| 0.02
144	| 42.31	| 42.49	| 0.18
145	| 72.98	| 72.91	| 0.07
146	| 68.19	| 68.08	| 0.10
147	| 20.83	| 20.40	| 0.43
148	| 22.73	| 22.75	| 0.02
149	| 72.17	| 72.02	| 0.15
150	| 46.36	| 46.08	| 0.28
151	| 56.01	| 55.96	| 0.05
152	| 56.45	| 56.53	| 0.08
153	| 41.96	| 42.36	| 0.40
154	| 1.64	| 1.60	| 0.05
155	| 36.22	| 36.20	| 0.01
156	| 7.53	| 7.51	| 0.02
157	| 72.32	| 72.69	| 0.37
158	| 61.95	| 61.69	| 0.25
159	| 53.88	| 53.84	| 0.03
160	| 52.40	| 52.50	| 0.09
161	| 32.03	| 31.82	| 0.21
162	| 58.27	| 58.34	| 0.07
163	| 23.20	| 23.14	| 0.06
164	| 35.94	| 35.93	| 0.01
165	| 77.35	| 77.08	| 0.27
166	| 70.68	| 70.58	| 0.10
167	| 64.67	| 64.91	| 0.24
168	| 76.26	| 76.25	| 0.01
169	| 72.83	| 72.54	| 0.29
170	| 16.83	| 16.80	| 0.03
171	| 65.64	| 65.87	| 0.23
172	| 6.89	| 7.17	| 0.28
