Weighted Random Sampling Comparison on 100000 Trials
---------------------------------------------
Difference is bigger than 1% p in the following indices: []
Elapsed time: Fast: 11.217304916s, Fenwick: 3.988971458s

---------------------------------------------
Probability(%) of each element being selected:
Element	| Fast	| Fenw	| Diff(Max-Min)
173	| 8.84	| 8.82	| 0.01
174	| 75.30	| 75.30	| 0.00
175	| 68.12	| 67.69	| 0.43
176	| 50.56	| 50.71	| 0.15
177	| 49.10	| 49.52	| 0.42
178	| 5.51	| 5.54	| 0.03
179	| 71.34	| 71.34	| 0.00
180	| 64.62	| 64.79	| 0.17
181	| 47.01	| 46.79	| 0.22
182	| 70.19	| 69.94	| 0.25
183	| 54.55	| 54.58	| 0.03
184	| 32.76	| 32.35	| 0.41
185	| 60.83	| 60.98	| 0.16
186	| 3.70	| 3.64	| 0.05
187	| 8.76	| 8.86	| 0.10
188	| 66.75	| 67.14	| 0.39
189	| 71.14	| 70.46	| 0.67
190	| 8.81	| 8.56	| 0.25
191	| 77.61	| 77.67	| 0.06
192	| 6.88	| 6.89	| 0.01
193	| 56.82	| 56.29	| 0.53
194	| 39.76	| 39.78	| 0.02
195	| 64.80	| 65.07	| 0.27
196	| 41.90	| 42.17	| 0.27
197	| 66.12	| 65.79	| 0.34
198	| 74.58	| 74.57	| 0.01
199	| 77.93	| 77.99	| 0.06
200	| 71.54	| 71.70	| 0.16
201	| 74.35	| 74.51	| 0.16
202	| 60.34	| 60.09	| 0.25
203	| 76.53	| 76.65	| 0.12
204	| 39.31	| 38.95	| 0.36
205	| 50.49	| 50.49	| 0.00
206	| 62.36	| 62.17	| 0.19
207	| 63.62	| 63.43	| 0.19
208	| 9.50	| 9.45	| 0.05
209	| 67.98	| 68.04	| 0.06
210	| 59.48	| 59.32	| 0.16
211	| 57.47	| 57.12	| 0.35
212	| 60.26	| 60.27	| 0.01
213	| 35.49	| 35.45	| 0.04
214	| 66.00	| 65.70	| 0.31
215	| 47.01	| 46.76	| 0.25
216	| 27.61	| 27.66	| 0.05
217	| 76.76	| 76.54	| 0.22
218	| 22.57	| 22.58	| 0.01
219	| 67.87	| 67.78	| 0.09
220	| 50.44	| 50.21	| 0.22
221	| 75.66	| 75.74	| 0.09
222	| 51.83	| 51.59	| 0.24
223	| 67.72	| 67.85	| 0.14
224	| 62.13	| 62.14	| 0.01
225	| 72.82	| 72.85	| 0.03
226	| 5.60	| 5.69	| 0.10
227	| 15.95	| 15.89	| 0.06
228	| 77.80	| 77.87	| 0.07
229	| 60.59	| 60.77	| 0.18
230	| 39.31	| 39.58	| 0.27
231	| 68.40	| 68.87	| 0.47
232	| 47.28	| 47.28	| 0.01
233	| 4.07	| 4.13	| 0.06
234	| 63.37	| 63.36	| 0.01
235	| 72.90	| 73.28	| 0.37
236	| 33.37	| 33.41	| 0.04
237	| 45.54	| 45.40	| 0.15
238	| 19.82	| 19.62	| 0.21
239	| 65.22	| 65.07	| 0.15
240	| 69.45	| 69.43	| 0.02
241	| 71.06	| 71.12	| 0.06
242	| 46.38	| 45.81	| 0.58
243	| 53.87	| 54.02	| 0.15
244	| 41.84	| 42.33	| 0.49
245	| 64.91	| 65.06	| 0.14
246	| 2.89	| 2.77	| 0.12
247	| 75.88	| 75.83	| 0.06
248	| 39.81	| 40.32	| 0.51
249	| 74.77	| 74.54	| 0.23
250	| 59.28	| 59.14	| 0.14
251	| 1.31	| 1.38	| 0.07
252	| 48.86	| 48.84	| 0.02
253	| 42.22	| 42.21	| 0.01
254	| 52.76	| 53.06	| 0.30
255	| 26.83	| 27.19	| 0.36
256	| 32.82	| 32.84	| 0.02
257	| 70.27	| 70.03	| 0.24
258	| 2.30	| 2.46	| 0.16
259	| 74.75	| 74.56	| 0.20
260	| 70.90	| 70.87	| 0.04
261	| 73.21	| 73.30	| 0.09
262	| 78.35	| 78.37	| 0.02
263	| 70.14	| 70.20	| 0.06
264	| 50.36	| 50.02	| 0.35
265	| 43.18	| 43.21	| 0.03
266	| 62.70	| 62.67	| 0.02
267	| 73.63	| 73.47	| 0.16
268	| 27.98	| 28.15	| 0.17
269	| 19.92	| 19.55	| 0.37
270	| 45.68	| 45.52	| 0.17
271	| 57.63	| 57.07	| 0.56
272	| 18.18	| 18.56	| 0.38
273	| 12.23	| 12.26	| 0.03
274	| 54.23	| 54.41	| 0.18
275	| 66.23	| 66.10	| 0.13
276	| 24.80	| 24.71	| 0.09
277	| 13.05	| 13.06	| 0.01
278	| 55.71	| 55.86	| 0.15
279	| 78.02	| 77.94	| 0.07
280	| 52.07	| 52.22	| 0.14
281	| 67.94	| 68.06	| 0.12
282	| 38.12	| 38.54	| 0.41
283	| 45.74	| 45.97	| 0.23
284	| 76.80	| 77.00	| 0.20
285	| 41.37	| 41.21	| 0.16
286	| 72.38	| 72.43	| 0.05
287	| 41.23	| 41.40	| 0.17
288	| 62.21	| 62.29	| 0.08
289	| 23.51	| 23.36	| 0.15
290	| 2.56	| 2.53	| 0.04
291	| 75.26	| 75.07	| 0.19
292	| 29.27	| 29.03	| 0.24
293	| 25.43	| 25.47	| 0.04
294	| 39.51	| 39.50	| 0.01
295	| 31.06	| 30.76	| 0.29
296	| 19.93	| 19.87	| 0.05
297	| 76.41	| 76.49	| 0.09
298	| 43.55	| 43.66	| 0.12
299	| 68.16	| 68.17	| 0.01
300	| 43.54	| 43.86	| 0.32
301	| 66.46	| 66.42	| 0.05
302	| 75.34	| 75.53	| 0.19
303	| 74.65	| 74.31	| 0.34
304	| 75.61	| 75.68	| 0.07
305	| 72.96	| 72.88	| 0.09
306	| 75.36	| 75.10	| 0.26
307	| 37.11	| 37.11	| 0.00
308	| 45.02	| 44.60	| 0.42
309	| 14.37	| 14.32	| 0.05
310	| 59.89	| 59.74	| 0.15
311	| 75.52	| 75.79	| 0.27
312	| 58.91	| 59.10	| 0.19
313	| 32.49	| 32.89	| 0.40
314	| 32.92	| 32.90	| 0.02
315	| 3.26	| 3.26	| 0.00
316	| 52.64	| 52.42	| 0.21
317	| 62.31	| 62.25	| 0.05
318	| 68.23	| 68.19	| 0.05
319	| 62.67	| 62.36	| 0.31
320	| 46.63	| 46.67	| 0.04
321	| 77.55	| 77.59	| 0.05
322	| 63.86	| 64.31	| 0.45
323	| 56.68	| 56.85	| 0.17
324	| 32.52	| 32.31	| 0.21
325	| 44.02	| 44.35	| 0.33
326	| 38.07	| 38.45	| 0.39
327	| 24.67	| 24.92	| 0.25
328	| 56.89	| 56.94	| 0.05
329	| 8.91	| 8.84	| 0.07
330	| 33.55	| 33.35	| 0.20
331	| 62.33	| 62.39	| 0.07
332	| 64.39	| 64.02	| 0.37
333	| 40.56	| 40.82	| 0.26
334	| 55.17	| 55.03	| 0.14
335	| 53.45	| 53.29	| 0.16
336	| 32.55	| 32.99	| 0.44
337	| 69.78	| 69.68	| 0.10
338	| 20.09	| 20.20	| 0.11
339	| 77.21	| 77.30	| 0.08
340	| 40.13	| 39.99	| 0.14
341	| 62.84	| 63.28	| 0.44
342	| 64.31	| 64.47	| 0.15
343	| 25.97	| 26.13	| 0.16
344	| 78.18	| 78.12	| 0.06
345	| 25.12	| 25.06	| 0.07
346	| 56.87	| 56.98	| 0.11
347	| 53.99	| 53.83	| 0.17
348	| 64.20	| 63.87	| 0.34
349	| 36.60	| 36.53	| 0.06
350	| 23.50	| 23.55	| 0.05
351	| 69.25	| 69.33	| 0.08
352	| 56.61	| 56.66	| 0.05
353	| 48.10	| 48.00	| 0.11
354	| 67.23	| 67.64	| 0.41
355	| 44.85	| 44.75	| 0.10
356	| 23.71	| 23.72	| 0.01
357	| 59.26	| 59.03	| 0.23
358	| 38.07	| 37.79	| 0.28
359	| 72.30	| 72.50	| 0.20
360	| 77.51	| 77.45	| 0.06
361	| 11.87	| 11.90	| 0.03
362	| 5.80	| 5.78	| 0.02
363	| 45.40	| 45.15	| 0.25
364	| 36.23	| 36.11	| 0.13
365	| 15.78	| 15.90	| 0.12
366	| 52.91	| 52.85	| 0.05
367	| 76.96	| 77.02	| 0.05
368	| 58.94	| 58.83	| 0.11
369	| 0.76	| 0.77	| 0.00
370	| 75.36	| 75.47	| 0.12
371	| 23.82	| 23.81	| 0.01
372	| 14.14	| 14.06	| 0.07
373	| 56.31	| 56.12	| 0.19
374	| 6.64	| 6.44	| 0.20
375	| 25.69	| 25.94	| 0.25
376	| 58.94	| 58.83	| 0.12
377	| 50.54	| 50.67	| 0.13
378	| 59.32	| 59.23	| 0.09
379	| 61.23	| 61.05	| 0.18
380	| 61.03	| 60.88	| 0.15
381	| 68.18	| 68.13	| 0.05
382	| 47.21	| 47.19	| 0.02
383	| 53.03	| 52.89	| 0.14
384	| 36.29	| 36.14	| 0.14
385	| 27.38	| 27.63	| 0.24
386	| 67.53	| 67.48	| 0.04
387	| 58.26	| 58.17	| 0.09
388	| 54.71	| 54.63	| 0.08
389	| 54.33	| 54.24	| 0.09
390	| 45.18	| 45.37	| 0.18
391	| 35.65	| 35.99	| 0.33
392	| 66.61	| 66.63	| 0.02
393	| 33.38	| 33.38	| 0.00
394	| 70.83	| 71.09	| 0.26
395	| 55.43	| 55.23	| 0.21
396	| 18.54	| 18.61	| 0.07
397	| 73.83	| 74.00	| 0.17
398	| 72.11	| 71.88	| 0.23
399	| 66.41	| 66.29	| 0.12
400	| 37.70	| 37.91	| 0.21
401	| 28.16	| 28.25	| 0.09
402	| 36.42	| 36.79	| 0.37
403	| 33.64	| 33.49	| 0.15
404	| 74.87	| 74.70	| 0.16
405	| 35.10	| 35.15	| 0.05
406	| 39.92	| 39.91	| 0.01
407	| 71.17	| 71.20	| 0.03
408	| 53.49	| 53.27	| 0.21
409	| 9.39	| 9.30	| 0.09
410	| 67.38	| 67.65	| 0.27
411	| 2.45	| 2.44	| 0.02
412	| 22.51	| 22.00	| 0.51
413	| 58.85	| 58.56	| 0.30
414	| 68.64	| 68.56	| 0.07
415	| 35.70	| 35.80	| 0.10
416	| 69.42	| 69.61	| 0.19
417	| 34.46	| 34.20	| 0.26
418	| 76.74	| 76.66	| 0.08
419	| 69.02	| 69.01	| 0.00
420	| 49.73	| 49.40	| 0.33
421	| 72.17	| 72.02	| 0.16
422	| 75.86	| 76.07	| 0.21
423	| 51.78	| 51.74	| 0.03
424	| 72.49	| 72.07	| 0.42
425	| 77.47	| 77.42	| 0.06
426	| 42.92	| 42.61	| 0.31
427	| 43.27	| 43.15	| 0.13
428	| 27.88	| 27.41	| 0.46
429	| 71.04	| 70.79	| 0.25
430	| 57.75	| 57.55	| 0.20
431	| 46.77	| 47.01	| 0.24
432	| 47.45	| 47.59	| 0.14
433	| 4.34	| 4.41	| 0.07
434	| 78.36	| 78.28	| 0.08
435	| 70.37	| 70.49	| 0.12
436	| 74.27	| 74.41	| 0.14
437	| 39.86	| 40.17	| 0.31
438	| 46.29	| 46.38	| 0.09
439	| 59.09	| 59.08	| 0.02
440	| 55.20	| 55.19	| 0.01
441	| 21.73	| 21.91	| 0.18
442	| 70.79	| 71.05	| 0.26
443	| 24.27	| 24.20	| 0.08
444	| 73.00	| 72.78	| 0.21
445	| 45.39	| 45.05	| 0.34
446	| 47.51	| 47.66	| 0.16
447	| 75.04	| 75.08	| 0.04
448	| 17.03	| 17.21	| 0.19
449	| 68.51	| 68.47	| 0.04
450	| 7.69	| 7.87	| 0.19
451	| 32.41	| 32.42	| 0.01
452	| 31.96	| 32.05	| 0.09
453	| 44.87	| 45.27	| 0.40
454	| 31.97	| 31.98	| 0.01
455	| 77.88	| 77.87	| 0.01
456	| 65.25	| 65.23	| 0.02
457	| 66.06	| 66.08	| 0.02
458	| 48.38	| 48.43	| 0.06
459	| 20.46	| 20.82	| 0.36
460	| 75.87	| 75.82	| 0.05
461	| 35.83	| 35.74	| 0.09
462	| 75.58	| 75.47	| 0.11
463	| 22.03	| 21.83	| 0.21
464	| 74.73	| 74.41	| 0.31
465	| 69.58	| 69.52	| 0.06
466	| 75.33	| 75.14	| 0.18
467	| 53.07	| 53.43	| 0.36
468	| 8.99	| 8.88	| 0.12
469	| 73.86	| 73.84	| 0.02
470	| 51.25	| 51.70	| 0.45
471	| 65.65	| 65.57	| 0.08
472	| 13.78	| 13.78	| 0.00
473	| 49.92	| 49.61	| 0.31
474	| 50.62	| 50.83	| 0.21
475	| 76.17	| 76.21	| 0.04
476	| 16.18	| 16.11	| 0.07
477	| 55.92	| 56.09	| 0.17
478	| 78.06	| 77.92	| 0.14
479	| 32.09	| 32.19	| 0.10
480	| 33.97	| 34.02	| 0.05
481	| 7.43	| 7.58	| 0.15
482	| 73.21	| 72.86	| 0.36
483	| 73.49	| 73.60	| 0.11
484	| 70.84	| 70.69	| 0.15
485	| 71.94	| 71.95	| 0.01
486	| 50.70	| 50.90	| 0.20
487	| 70.13	| 70.21	| 0.09
488	| 68.64	| 68.72	| 0.07
489	| 41.41	| 41.76	| 0.35
490	| 67.69	| 67.78	| 0.09
491	| 30.18	| 30.40	| 0.22
492	| 42.70	| 42.49	| 0.21
493	| 20.71	| 21.16	| 0.45
494	| 65.22	| 65.16	| 0.06
495	| 78.35	| 78.34	| 0.01
496	| 36.04	| 36.06	| 0.03
497	| 39.23	| 39.57	| 0.34
498	| 75.90	| 75.95	| 0.05
499	| 71.46	| 71.51	| 0.05
500	| 42.35	| 42.15	| 0.20
501	| 53.92	| 54.03	| 0.12
502	| 60.99	| 60.99	| 0.00
503	| 69.40	| 69.40	| 0.00
504	| 60.15	| 60.17	| 0.02
505	| 65.90	| 65.85	| 0.05
506	| 63.31	| 63.39	| 0.08
507	| 46.36	| 46.60	| 0.24
508	| 43.59	| 43.68	| 0.09
509	| 38.52	| 38.37	| 0.15
510	| 1.79	| 1.80	| 0.01
511	| 63.34	| 63.60	| 0.26
512	| 15.17	| 15.25	| 0.08
513	| 30.38	| 30.58	| 0.21
514	| 46.74	| 46.46	| 0.28
515	| 76.01	| 76.47	| 0.46
516	| 62.37	| 62.33	| 0.04
517	| 16.49	| 16.53	| 0.05
518	| 76.38	| 76.52	| 0.14
519	| 64.15	| 64.42	| 0.27
520	| 43.49	| 43.69	| 0.19
521	| 54.68	| 54.60	| 0.08
522	| 75.74	| 75.81	| 0.07
523	| 61.19	| 60.94	| 0.25
524	| 5.45	| 5.49	| 0.04
525	| 65.86	| 65.94	| 0.08
526	| 33.07	| 32.87	| 0.20
527	| 15.81	| 15.98	| 0.17
528	| 68.89	| 69.05	| 0.16
529	| 71.81	| 71.98	| 0.16
530	| 27.16	| 27.36	| 0.20
531	| 23.34	| 23.37	| 0.03
532	| 35.79	| 35.69	| 0.11
533	| 65.48	| 65.33	| 0.15
534	| 46.37	| 46.06	| 0.31
535	| 76.15	| 76.08	| 0.06
536	| 39.01	| 38.75	| 0.26
537	| 9.75	| 9.93	| 0.18
538	| 59.81	| 59.61	| 0.20
539	| 58.46	| 58.52	| 0.06
540	| 78.15	| 78.12	| 0.03
541	| 8.79	| 8.57	| 0.22
542	| 70.17	| 70.08	| 0.09
543	| 77.75	| 77.33	| 0.42
544	| 65.57	| 65.42	| 0.15
545	| 67.51	| 67.40	| 0.11
546	| 76.79	| 76.74	| 0.04
547	| 77.90	| 78.08	| 0.17
548	| 54.88	| 54.63	| 0.26
549	| 58.76	| 58.61	| 0.15
550	| 43.95	| 44.02	| 0.07
551	| 3.19	| 3.02	| 0.17
552	| 78.23	| 78.11	| 0.12
553	| 60.24	| 60.68	| 0.44
554	| 57.31	| 57.33	| 0.02
555	| 36.59	| 36.58	| 0.02
556	| 30.46	| 30.40	| 0.06
557	| 63.49	| 63.24	| 0.25
558	| 77.37	| 77.30	| 0.07
559	| 63.69	| 63.63	| 0.06
560	| 36.48	| 36.26	| 0.22
561	| 13.08	| 13.24	| 0.16
562	| 50.02	| 49.99	| 0.03
563	| 12.81	| 12.85	| 0.04
564	| 44.56	| 44.95	| 0.39
565	| 45.01	| 44.85	| 0.17
566	| 57.04	| 56.80	| 0.24
567	| 76.91	| 77.06	| 0.15
568	| 72.94	| 72.93	| 0.01
569	| 47.70	| 47.48	| 0.21
570	| 36.36	| 36.84	| 0.48
571	| 73.00	| 72.70	| 0.30
572	| 18.09	| 17.82	| 0.27
573	| 73.32	| 73.39	| 0.08
574	| 62.92	| 62.87	| 0.04
575	| 51.22	| 51.40	| 0.18
576	| 69.55	| 69.77	| 0.22
577	| 58.60	| 58.71	| 0.11
578	| 54.59	| 54.43	| 0.16
579	| 51.75	| 51.93	| 0.18
580	| 15.31	| 14.90	| 0.41
581	| 72.00	| 71.94	| 0.06
582	| 39.21	| 39.17	| 0.04
583	| 61.88	| 62.02	| 0.13
584	| 33.49	| 33.35	| 0.14
585	| 71.01	| 70.94	| 0.08
586	| 46.99	| 47.27	| 0.28
587	| 21.36	| 21.33	| 0.03
588	| 61.83	| 61.83	| 0.00
589	| 61.94	| 61.87	| 0.07
590	| 31.05	| 31.24	| 0.19
591	| 59.93	| 60.04	| 0.11
592	| 72.93	| 72.82	| 0.11
593	| 21.46	| 21.44	| 0.02
594	| 75.91	| 76.01	| 0.11
595	| 38.75	| 38.63	| 0.12
596	| 55.19	| 54.92	| 0.26
597	| 41.90	| 42.11	| 0.21
598	| 39.94	| 39.89	| 0.05
599	| 51.90	| 52.12	| 0.23
600	| 51.24	| 51.17	| 0.07
601	| 15.47	| 15.53	| 0.06
602	| 61.39	| 61.39	| 0.00
603	| 29.07	| 29.35	| 0.28
604	| 61.14	| 61.10	| 0.04
605	| 64.05	| 64.42	| 0.37
606	| 62.18	| 62.29	| 0.11
607	| 60.55	| 60.20	| 0.34
608	| 27.99	| 27.86	| 0.14
609	| 25.68	| 25.04	| 0.64
610	| 29.16	| 29.76	| 0.60
611	| 41.20	| 41.05	| 0.15
612	| 13.37	| 13.14	| 0.22
613	| 53.87	| 54.10	| 0.23
614	| 67.10	| 67.04	| 0.06
615	| 9.67	| 9.61	| 0.07
616	| 42.05	| 42.09	| 0.04
617	| 51.69	| 51.71	| 0.02
618	| 27.81	| 27.74	| 0.07
619	| 57.96	| 57.89	| 0.07
620	| 44.40	| 44.40	| 0.00
621	| 61.30	| 61.45	| 0.15
622	| 2.22	| 2.21	| 0.01
623	| 34.15	| 34.22	| 0.07
624	| 76.87	| 76.89	| 0.02
625	| 72.76	| 72.95	| 0.19
626	| 61.13	| 60.76	| 0.37
627	| 76.64	| 76.63	| 0.01
628	| 68.89	| 69.07	| 0.18
629	| 40.52	| 40.34	| 0.18
630	| 26.47	| 26.42	| 0.05
631	| 45.95	| 46.00	| 0.05
632	| 34.66	| 34.40	| 0.26
633	| 55.23	| 55.40	| 0.17
634	| 66.77	| 66.86	| 0.09
635	| 61.11	| 61.14	| 0.03
636	| 31.04	| 31.56	| 0.53
637	| 69.16	| 69.21	| 0.05
638	| 63.37	| 63.37	| 0.00
639	| 52.12	| 52.18	| 0.06
640	| 24.54	| 24.63	| 0.09
641	| 63.72	| 63.39	| 0.33
642	| 77.64	| 77.72	| 0.08
643	| 1.61	| 1.61	| 0.00
644	| 25.56	| 25.69	| 0.14
645	| 19.55	| 19.59	| 0.04
646	| 19.11	| 19.24	| 0.12
647	| 76.13	| 76.47	| 0.34
648	| 75.29	| 75.24	| 0.05
649	| 47.73	| 47.53	| 0.20
650	| 77.74	| 78.13	| 0.39
651	| 52.25	| 52.57	| 0.32
652	| 3.46	| 3.46	| 0.00
653	| 23.90	| 23.81	| 0.09
654	| 70.34	| 70.23	| 0.11
655	| 73.75	| 73.59	| 0.16
656	| 69.16	| 69.54	| 0.38
657	| 55.11	| 55.19	| 0.09
658	| 16.06	| 16.02	| 0.04
659	| 50.23	| 50.14	| 0.09
660	| 75.88	| 75.62	| 0.26
661	| 56.17	| 56.55	| 0.38
662	| 61.47	| 61.21	| 0.26
663	| 39.38	| 39.31	| 0.07
664	| 48.42	| 48.39	| 0.03
665	| 62.38	| 62.44	| 0.06
666	| 27.80	| 27.62	| 0.19
667	| 43.08	| 43.20	| 0.12
668	| 58.29	| 58.35	| 0.06
669	| 60.69	| 60.84	| 0.15
670	| 9.66	| 9.63	| 0.03
671	| 71.00	| 71.12	| 0.12
672	| 70.50	| 70.49	| 0.01
673	| 42.88	| 42.92	| 0.04
674	| 56.96	| 56.88	| 0.08
675	| 61.35	| 61.75	| 0.40
676	| 65.40	| 65.55	| 0.15
677	| 77.17	| 76.90	| 0.27
678	| 76.58	| 76.55	| 0.03
679	| 63.66	| 63.43	| 0.23
680	| 74.24	| 74.02	| 0.22
681	| 21.82	| 21.79	| 0.03
682	| 1.70	| 1.69	| 0.01
683	| 25.76	| 25.88	| 0.12
684	| 69.29	| 69.44	| 0.14
685	| 66.75	| 66.48	| 0.27
