Weighted Random Sampling Comparison on 100000 Trials
---------------------------------------------
Difference is bigger than 1% p in the following indices: []
Elapsed time: Fast: 891.5195ms, Fenwick: 294.808583ms

---------------------------------------------
Probability(%) of each element being selected:
Element	| Fast	| Fenw	| Diff(Max-Min)
---------------------------------------------
0	| 41.94	| 42.03	| 0.09
1	| 3.66	| 3.70	| 0.04
2	| 44.58	| 44.81	| 0.23
3	| 32.45	| 32.54	| 0.09
4	| 70.62	| 70.40	| 0.22
5	| 80.03	| 80.06	| 0.02
6	| 49.14	| 49.09	| 0.05
7	| 11.05	| 11.11	| 0.06
8	| 48.78	| 48.84	| 0.06
9	| 66.16	| 66.14	| 0.02
10	| 52.00	| 51.78	| 0.23
11	| 73.65	| 73.56	| 0.09
12	| 78.39	| 78.23	| 0.16
13	| 74.06	| 73.92	| 0.14
14	| 66.92	| 66.91	| 0.01
15	| 48.84	| 49.02	| 0.18
16	| 59.12	| 59.16	| 0.04
17	| 62.83	| 62.84	| 0.01
18	| 54.25	| 54.31	| 0.06
19	| 50.70	| 50.79	| 0.09
20	| 38.34	| 38.07	| 0.27
21	| 75.80	| 75.68	| 0.12
22	| 71.27	| 71.30	| 0.03
23	| 25.36	| 25.23	| 0.13
24	| 18.01	| 17.89	| 0.12
25	| 79.69	| 79.75	| 0.06
26	| 71.05	| 70.92	| 0.13
27	| 48.10	| 48.32	| 0.22
28	| 33.66	| 33.76	| 0.10
29	| 56.36	| 56.79	| 0.43
30	| 54.12	| 54.29	| 0.17
31	| 21.76	| 21.57	| 0.19
32	| 10.69	| 10.67	| 0.03
33	| 46.07	| 46.04	| 0.03
34	| 70.98	| 71.06	| 0.08
35	| 26.05	| 26.29	| 0.24
36	| 71.29	| 70.99	| 0.30
37	| 41.31	| 41.60	| 0.30
38	| 64.40	| 64.18	| 0.22
39	| 54.98	| 55.03	| 0.05
40	| 48.41	| 48.13	| 0.28
41	| 33.63	| 33.65	| 0.02
42	| 72.03	| 71.92	| 0.11
43	| 19.75	| 19.86	| 0.11
44	| 79.05	| 78.71	| 0.34
45	| 50.23	| 50.11	| 0.13
46	| 78.01	| 77.86	| 0.15
47	| 52.44	| 52.36	| 0.08
48	| 41.69	| 41.81	| 0.12
49	| 68.63	| 69.08	| 0.44
50	| 4.77	| 4.80	| 0.03
51	| 46.15	| 46.16	| 0.01
52	| 75.88	| 75.69	| 0.20
53	| 68.78	| 69.11	| 0.34
54	| 73.30	| 73.44	| 0.14
55	| 42.69	| 42.62	| 0.07
56	| 76.91	| 76.91	| 0.00
57	| 44.72	| 45.01	| 0.29
58	| 43.43	| 43.39	| 0.04
59	| 67.82	| 68.11	| 0.29
60	| 42.82	| 42.29	| 0.53
61	| 35.13	| 34.78	| 0.35
62	| 68.05	| 68.28	| 0.24
63	| 32.58	| 32.48	| 0.10
64	| 72.00	| 72.09	| 0.09
65	| 39.48	| 39.58	| 0.11
66	| 68.04	| 68.09	| 0.06
67	| 31.51	| 31.98	| 0.47
68	| 56.47	| 56.59	| 0.12
69	| 3.99	| 4.10	| 0.11
70	| 31.20	| 31.12	| 0.09
71	| 30.46	| 30.69	| 0.23
72	| 61.39	| 61.13	| 0.25
73	| 17.94	| 18.35	| 0.41
74	| 58.43	| 58.39	| 0.04
75	| 59.26	| 59.03	| 0.23
76	| 35.35	| 35.22	| 0.12
77	| 38.33	| 38.52	| 0.19
78	| 57.67	| 57.64	| 0.03
79	| 14.12	| 14.10	| 0.02
80	| 78.21	| 78.18	| 0.03
81	| 70.80	| 70.45	| 0.34
82	| 58.00	| 57.75	| 0.25
83	| 32.19	| 31.90	| 0.29
84	| 4.03	| 4.09	| 0.05
85	| 53.77	| 53.95	| 0.18
86	| 69.87	| 69.99	| 0.12
87	| 62.37	| 62.58	| 0.21
88	| 12.15	| 12.14	| 0.00
89	| 67.27	| 67.51	| 0.24
90	| 50.81	| 50.76	| 0.05
91	| 44.23	| 44.07	| 0.16
92	| 4.58	| 4.58	| 0.00
93	| 45.00	| 44.97	| 0.02
94	| 63.69	| 64.06	| 0.37
95	| 67.68	| 67.60	| 0.08
96	| 59.51	| 59.18	| 0.33
97	| 37.12	| 37.14	| 0.01
98	| 78.00	| 77.78	| 0.22
99	| 49.71	| 49.43	| 0.28
