Weighted Random Sampling Comparison on 100000 Trials
---------------------------------------------
Difference is bigger than 1% p in the following indices: []
Elapsed time: Fast: 36.979484875s, Fenwick: 1.836401208s

---------------------------------------------
Probability(%) of each element being selected:
Element	| Fast	| Fenw	| Diff(Max-Min)
---------------------------------------------
0	| 1.19	| 1.27	| 0.08
1	| 1.35	| 1.39	| 0.03
2	| 5.53	| 5.45	| 0.08
3	| 4.80	| 4.81	| 0.00
4	| 2.79	| 2.71	| 0.08
5	| 5.97	| 5.94	| 0.04
6	| 1.52	| 1.51	| 0.01
7	| 5.28	| 5.20	| 0.08
8	| 4.69	| 4.59	| 0.10
9	| 0.20	| 0.20	| 0.01
10	| 5.57	| 5.42	| 0.15
11	| 1.74	| 1.75	| 0.02
12	| 4.59	| 4.54	| 0.04
13	| 5.40	| 5.26	| 0.13
14	| 3.48	| 3.53	| 0.05
15	| 5.99	| 6.02	| 0.03
16	| 4.91	| 4.86	| 0.05
17	| 0.83	| 0.83	| 0.00
18	| 4.42	| 4.42	| 0.01
19	| 1.59	| 1.55	| 0.04
20	| 3.98	| 4.06	| 0.08
21	| 5.15	| 5.17	| 0.02
22	| 1.13	| 1.10	| 0.03
23	| 0.45	| 0.45	| 0.01
24	| 1.61	| 1.61	| 0.00
25	| 2.22	| 2.31	| 0.09
26	| 1.11	| 1.09	| 0.02
27	| 3.25	| 3.19	| 0.06
28	| 2.69	| 2.77	| 0.08
29	| 5.34	| 5.39	| 0.05
30	| 4.32	| 4.38	| 0.06
31	| 5.37	| 5.33	| 0.05
32	| 1.88	| 1.85	| 0.04
33	| 4.44	| 4.50	| 0.06
34	| 4.17	| 4.22	| 0.06
35	| 0.68	| 0.73	| 0.05
36	| 4.61	| 4.55	| 0.06
37	| 4.46	| 4.55	| 0.09
38	| 0.70	| 0.74	| 0.04
39	| 3.37	| 3.34	| 0.03
40	| 0.48	| 0.55	| 0.07
41	| 4.50	| 4.64	| 0.15
42	| 0.58	| 0.60	| 0.02
43	| 5.60	| 5.64	| 0.04
44	| 5.80	| 5.68	| 0.12
45	| 2.48	| 2.57	| 0.09
46	| 1.49	| 1.51	| 0.03
47	| 6.32	| 6.32	| 0.00
48	| 3.63	| 3.53	| 0.10
49	| 1.85	| 1.80	| 0.05
50	| 2.99	| 2.91	| 0.09
51	| 6.35	| 6.42	| 0.07
52	| 4.11	| 4.19	| 0.08
53	| 2.82	| 2.82	| 0.00
54	| 4.34	| 4.34	| 0.00
55	| 1.73	| 1.78	| 0.05
56	| 1.77	| 1.83	| 0.06
57	| 2.85	| 2.87	| 0.02
58	| 6.35	| 6.21	| 0.14
59	| 0.47	| 0.45	| 0.02
60	| 4.54	| 4.45	| 0.09
61	| 3.15	| 2.97	| 0.18
62	| 4.16	| 4.19	| 0.04
63	| 4.28	| 4.23	| 0.05
64	| 5.26	| 5.22	| 0.03
65	| 2.63	| 2.65	| 0.02
66	| 1.57	| 1.54	| 0.03
67	| 4.98	| 5.04	| 0.05
68	| 0.38	| 0.35	| 0.03
69	| 0.60	| 0.60	| 0.00
70	| 4.43	| 4.38	| 0.05
71	| 0.67	| 0.65	| 0.01
72	| 4.91	| 5.10	| 0.18
73	| 5.32	| 5.33	| 0.00
74	| 3.42	| 3.36	| 0.06
75	| 3.11	| 3.22	| 0.11
76	| 2.91	| 2.84	| 0.07
77	| 5.42	| 5.53	| 0.11
78	| 4.59	| 4.54	| 0.06
79	| 5.13	| 5.29	| 0.16
80	| 3.87	| 3.87	| 0.00
81	| 4.88	| 5.01	| 0.13
82	| 0.51	| 0.48	| 0.03
83	| 1.92	| 1.99	| 0.07
84	| 6.37	| 6.44	| 0.08
85	| 3.42	| 3.58	| 0.16
86	| 4.47	| 4.43	| 0.04
87	| 2.29	| 2.28	| 0.02
88	| 0.94	| 0.96	| 0.02
89	| 3.01	| 3.08	| 0.06
90	| 6.42	| 6.41	| 0.02
91	| 5.29	| 5.24	| 0.05
92	| 0.52	| 0.48	| 0.04
93	| 4.19	| 4.18	| 0.01
94	| 1.15	| 1.06	| 0.09
95	| 3.62	| 3.55	| 0.07
96	| 5.73	| 5.78	| 0.05
97	| 0.18	| 0.21	| 0.03
98	| 2.17	| 2.20	| 0.03
99	| 3.01	| 3.01	| 0.00
100	| 4.38	| 4.45	| 0.08
101	| 5.01	| 4.93	| 0.07
102	| 1.50	| 1.44	| 0.06
103	| 5.91	| 6.07	| 0.15
104	| 2.71	| 2.60	| 0.11
105	| 1.25	| 1.32	| 0.07
106	| 6.43	| 6.25	| 0.18
107	| 3.92	| 4.12	| 0.20
108	| 4.29	| 4.39	| 0.10
109	| 0.70	| 0.71	| 0.01
110	| 5.97	| 6.15	| 0.18
111	| 0.61	| 0.67	| 0.05
112	| 5.16	| 4.97	| 0.19
113	| 0.93	| 0.93	| 0.00
114	| 5.78	| 5.66	| 0.11
115	| 1.74	| 1.75	| 0.02
116	| 3.96	| 4.00	| 0.04
117	| 0.22	| 0.24	| 0.03
118	| 5.61	| 5.60	| 0.01
119	| 6.36	| 6.17	| 0.19
120	| 2.45	| 2.62	| 0.17
121	| 2.97	| 3.02	| 0.06
122	| 0.41	| 0.40	| 0.01
123	| 3.27	| 3.33	| 0.06
124	| 0.12	| 0.13	| 0.01
125	| 3.14	| 3.21	| 0.07
126	| 2.54	| 2.55	| 0.01
127	| 2.05	| 1.95	| 0.10
128	| 3.08	| 3.15	| 0.06
129	| 0.76	| 0.78	| 0.03
130	| 0.22	| 0.19	| 0.02
131	| 6.37	| 6.42	| 0.04
132	| 0.15	| 0.13	| 0.02
133	| 3.20	| 3.39	| 0.18
134	| 3.55	| 3.49	| 0.06
135	| 3.41	| 3.21	| 0.20
136	| 4.78	| 4.86	| 0.07
137	| 3.18	| 3.19	| 0.01
138	| 5.86	| 5.83	| 0.02
139	| 5.77	| 5.81	| 0.04
140	| 6.33	| 6.29	| 0.04
141	| 5.55	| 5.66	| 0.12
142	| 5.60	| 5.69	| 0.09
143	| 1.42	| 1.46	| 0.05
144	| 4.88	| 4.84	| 0.04
145	| 0.71	| 0.68	| 0.04
146	| 0.66	| 0.70	| 0.04
147	| 2.05	| 2.01	| 0.04
148	| 1.30	| 1.36	| 0.06
149	| 1.30	| 1.39	| 0.09
150	| 3.26	| 3.26	| 0.01
151	| 3.82	| 3.93	| 0.11
152	| 6.02	| 6.12	| 0.10
153	| 2.74	| 2.78	| 0.03
154	| 0.10	| 0.10	| 0.00
155	| 5.94	| 6.13	| 0.18
156	| 5.95	| 6.01	| 0.06
157	| 4.59	| 4.52	| 0.07
158	| 5.88	| 5.89	| 0.01
159	| 1.31	| 1.27	| 0.04
160	| 3.30	| 3.36	| 0.06
161	| 1.91	| 1.86	| 0.04
162	| 0.13	| 0.12	| 0.01
163	| 6.11	| 6.17	| 0.06
164	| 6.32	| 6.19	| 0.12
165	| 3.83	| 3.82	| 0.01
166	| 6.18	| 6.23	| 0.05
167	| 4.00	| 3.92	| 0.08
168	| 4.17	| 4.22	| 0.04
169	| 1.25	| 1.18	| 0.07
170	| 6.24	| 6.25	| 0.01
171	| 0.78	| 0.85	| 0.07
172	| 3.26	| 3.26	| 0.00
173	| 2.37	| 2.31	| 0.06
174	| 3.90	| 3.98	| 0.08
175	| 0.42	| 0.41	| 0.01
176	| 5.22	| 5.36	| 0.13
177	| 1.74	| 1.72	| 0.02
178	| 1.38	| 1.40	| 0.02
179	| 4.88	| 4.95	| 0.06
180	| 0.88	| 0.86	| 0.02
181	| 2.21	| 2.13	| 0.08
182	| 4.21	| 4.18	| 0.02
183	| 0.54	| 0.53	| 0.01
184	| 5.60	| 5.53	| 0.07
185	| 1.17	| 1.21	| 0.04
186	| 2.31	| 2.27	| 0.03
187	| 3.23	| 3.23	| 0.00
188	| 4.33	| 4.31	| 0.02
