Weighted Random Sampling Comparison on 100000 Trials
---------------------------------------------
Difference is bigger than 1% p in the following indices: []
Elapsed time: Fast: 36.979484875s, Fenwick: 1.836401208s

---------------------------------------------
Probability(%) of each element being selected:
Element	| Fast	| Fenw	| Diff(Max-Min)
189	| 0.69	| 0.66	| 0.03
190	| 4.35	| 4.50	| 0.15
191	| 3.02	| 3.00	| 0.02
192	| 0.05	| 0.03	| 0.01
193	| 4.93	| 5.09	| 0.16
194	| 5.02	| 5.12	| 0.10
195	| 1.60	| 1.61	| 0.01
196	| 3.23	| 3.13	| 0.10
197	| 4.28	| 4.38	| 0.09
198	| 0.52	| 0.51	| 0.01
199	| 2.75	| 2.65	| 0.09
200	| 1.24	| 1.32	| 0.08
201	| 3.77	| 3.81	| 0.04
202	| 2.82	| 2.98	| 0.16
203	| 3.60	| 3.74	| 0.13
204	| 3.92	| 4.05	| 0.13
205	| 2.05	| 1.92	| 0.13
206	| 2.51	| 2.50	| 0.01
207	| 1.51	| 1.48	| 0.03
208	| 3.82	| 3.81	| 0.01
209	| 2.96	| 3.08	| 0.11
210	| 5.04	| 5.05	| 0.01
211	| 2.85	| 2.81	| 0.04
212	| 4.95	| 4.90	| 0.05
213	| 3.01	| 3.07	| 0.06
214	| 4.34	| 4.15	| 0.18
215	| 3.05	| 3.11	| 0.05
216	| 5.38	| 5.41	| 0.03
217	| 0.70	| 0.74	| 0.04
218	| 2.65	| 2.65	| 0.01
219	| 3.70	| 3.84	| 0.14
220	| 4.14	| 4.09	| 0.05
221	| 3.98	| 4.07	| 0.10
222	| 0.55	| 0.57	| 0.02
223	| 0.71	| 0.73	| 0.02
224	| 0.97	| 0.93	| 0.04
225	| 6.02	| 5.87	| 0.16
226	| 1.05	| 1.07	| 0.02
227	| 2.56	| 2.55	| 0.01
228	| 1.91	| 1.91	| 0.00
229	| 4.72	| 4.57	| 0.15
230	| 0.27	| 0.27	| 0.00
231	| 3.59	| 3.57	| 0.02
232	| 0.61	| 0.66	| 0.05
233	| 5.56	| 5.70	| 0.14
234	| 0.22	| 0.21	| 0.01
235	| 1.47	| 1.44	| 0.03
236	| 4.63	| 4.64	| 0.01
237	| 0.01	| 0.01	| 0.00
238	| 4.78	| 4.76	| 0.02
239	| 3.35	| 3.34	| 0.02
240	| 6.18	| 6.26	| 0.08
241	| 5.07	| 5.04	| 0.03
242	| 4.00	| 3.88	| 0.12
243	| 5.90	| 5.96	| 0.05
244	| 3.55	| 3.44	| 0.11
245	| 5.93	| 6.08	| 0.15
246	| 0.93	| 0.94	| 0.01
247	| 0.05	| 0.05	| 0.00
248	| 0.09	| 0.10	| 0.01
249	| 2.41	| 2.55	| 0.14
250	| 3.33	| 3.38	| 0.05
251	| 4.46	| 4.33	| 0.13
252	| 1.74	| 1.71	| 0.04
253	| 6.17	| 6.16	| 0.01
254	| 0.88	| 0.83	| 0.04
255	| 0.32	| 0.29	| 0.03
256	| 6.45	| 6.23	| 0.22
257	| 1.62	| 1.54	| 0.08
258	| 0.43	| 0.40	| 0.03
259	| 1.05	| 1.04	| 0.01
260	| 3.16	| 2.98	| 0.18
261	| 3.04	| 3.17	| 0.13
262	| 3.36	| 3.32	| 0.04
263	| 3.27	| 3.40	| 0.13
264	| 6.26	| 6.17	| 0.09
265	| 0.42	| 0.40	| 0.02
266	| 2.71	| 2.65	| 0.06
267	| 0.57	| 0.59	| 0.02
268	| 5.50	| 5.54	| 0.03
269	| 3.44	| 3.51	| 0.08
270	| 3.84	| 3.93	| 0.09
271	| 1.44	| 1.41	| 0.03
272	| 1.50	| 1.51	| 0.01
273	| 5.12	| 5.07	| 0.05
274	| 5.12	| 5.26	| 0.14
275	| 3.54	| 3.52	| 0.02
276	| 6.54	| 6.44	| 0.10
277	| 5.76	| 6.00	| 0.24
278	| 2.76	| 2.72	| 0.04
279	| 5.38	| 5.48	| 0.10
280	| 5.72	| 5.77	| 0.05
281	| 0.83	| 0.92	| 0.09
282	| 6.56	| 6.55	| 0.01
283	| 0.96	| 0.89	| 0.06
284	| 3.60	| 3.51	| 0.09
285	| 1.45	| 1.45	| 0.01
286	| 3.37	| 3.40	| 0.03
287	| 5.11	| 4.91	| 0.20
288	| 2.71	| 2.78	| 0.08
289	| 0.75	| 0.68	| 0.07
290	| 5.03	| 5.04	| 0.01
291	| 4.90	| 4.86	| 0.04
292	| 4.83	| 4.83	| 0.00
293	| 5.02	| 4.93	| 0.09
294	| 1.34	| 1.29	| 0.05
295	| 1.03	| 1.10	| 0.07
296	| 0.58	| 0.51	| 0.07
297	| 3.43	| 3.40	| 0.03
298	| 1.31	| 1.29	| 0.02
299	| 3.99	| 3.90	| 0.10
300	| 5.68	| 5.73	| 0.04
301	| 2.47	| 2.48	| 0.00
302	| 4.27	| 4.40	| 0.14
303	| 6.60	| 6.37	| 0.23
304	| 0.34	| 0.33	| 0.01
305	| 3.57	| 3.59	| 0.02
306	| 1.42	| 1.44	| 0.03
307	| 3.90	| 3.91	| 0.01
308	| 3.76	| 3.91	| 0.15
309	| 4.82	| 4.76	| 0.06
310	| 2.36	| 2.32	| 0.04
311	| 1.87	| 1.78	| 0.09
312	| 4.08	| 4.06	| 0.02
313	| 2.54	| 2.61	| 0.07
314	| 3.84	| 3.88	| 0.04
315	| 1.31	| 1.23	| 0.08
316	| 1.57	| 1.54	| 0.02
317	| 5.06	| 5.10	| 0.05
318	| 0.21	| 0.19	| 0.02
319	| 0.46	| 0.45	| 0.02
320	| 5.13	| 5.17	| 0.04
321	| 1.20	| 1.21	| 0.02
322	| 0.39	| 0.38	| 0.01
323	| 3.11	| 3.13	| 0.02
324	| 5.63	| 5.48	| 0.15
325	| 3.72	| 3.62	| 0.10
326	| 4.37	| 4.39	| 0.02
327	| 2.59	| 2.51	| 0.07
328	| 2.60	| 2.70	| 0.10
329	| 3.71	| 3.80	| 0.09
330	| 2.93	| 2.93	| 0.01
331	| 2.57	| 2.55	| 0.02
332	| 6.41	| 6.26	| 0.15
333	| 1.07	| 1.08	| 0.01
334	| 2.82	| 2.62	| 0.20
335	| 2.85	| 2.81	| 0.04
336	| 3.40	| 3.34	| 0.06
337	| 1.65	| 1.65	| 0.01
338	| 5.27	| 5.33	| 0.06
339	| 0.36	| 0.37	| 0.01
340	| 3.58	| 3.53	| 0.05
341	| 2.71	| 2.69	| 0.02
342	| 0.12	| 0.13	| 0.01
343	| 1.71	| 1.75	| 0.04
344	| 5.82	| 5.55	| 0.27
345	| 4.81	| 4.95	| 0.15
346	| 2.40	| 2.34	| 0.06
347	| 0.97	| 0.97	| 0.00
348	| 0.44	| 0.47	| 0.02
349	| 1.03	| 1.02	| 0.00
350	| 5.89	| 5.98	| 0.09
351	| 3.02	| 3.09	| 0.07
352	| 1.97	| 1.97	| 0.00
353	| 5.37	| 5.21	| 0.16
354	| 3.53	| 3.50	| 0.03
355	| 4.78	| 4.75	| 0.03
356	| 1.11	| 1.08	| 0.03
357	| 6.19	| 6.03	| 0.16
358	| 0.64	| 0.60	| 0.04
359	| 0.66	| 0.63	| 0.03
360	| 3.47	| 3.47	| 0.01
361	| 6.27	| 6.37	| 0.09
362	| 0.98	| 1.03	| 0.06
363	| 5.00	| 5.01	| 0.01
364	| 5.64	| 5.57	| 0.07
365	| 0.58	| 0.62	| 0.04
366	| 2.56	| 2.57	| 0.01
367	| 1.12	| 1.14	| 0.02
368	| 3.62	| 3.66	| 0.04
369	| 2.14	| 2.03	| 0.11
370	| 4.06	| 4.06	| 0.00
371	| 5.46	| 5.32	| 0.14
372	| 0.42	| 0.40	| 0.02
373	| 3.00	| 3.05	| 0.05
374	| 5.95	| 5.91	| 0.03
375	| 3.48	| 3.38	| 0.10
376	| 4.03	| 3.97	| 0.05
377	| 2.72	| 2.88	| 0.16
378	| 5.56	| 5.50	| 0.06
379	| 3.69	| 3.71	| 0.03
380	| 5.19	| 5.31	| 0.12
381	| 0.31	| 0.32	| 0.01
382	| 4.92	| 5.13	| 0.22
383	| 3.79	| 3.91	| 0.13
384	| 6.45	| 6.46	| 0.01
385	| 6.33	| 6.42	| 0.10
386	| 6.32	| 6.35	| 0.03
387	| 5.00	| 4.99	| 0.01
388	| 1.51	| 1.45	| 0.06
389	| 3.24	| 3.28	| 0.05
390	| 0.08	| 0.07	| 0.00
391	| 5.80	| 5.77	| 0.04
392	| 3.24	| 3.20	| 0.04
393	| 1.60	| 1.64	| 0.04
394	| 0.30	| 0.35	| 0.05
395	| 4.54	| 4.58	| 0.04
396	| 3.58	| 3.55	| 0.03
397	| 0.52	| 0.55	| 0.03
398	| 4.90	| 4.87	| 0.02
399	| 5.31	| 5.34	| 0.03
400	| 5.67	| 5.58	| 0.09
401	| 0.19	| 0.21	| 0.02
402	| 4.76	| 4.93	| 0.17
403	| 2.70	| 2.77	| 0.07
404	| 5.27	| 5.30	| 0.02
405	| 3.08	| 3.10	| 0.02
406	| 0.83	| 0.83	| 0.00
407	| 5.15	| 5.14	| 0.01
408	| 1.55	| 1.62	| 0.07
409	| 6.40	| 6.64	| 0.25
410	| 4.08	| 4.14	| 0.06
411	| 4.17	| 4.07	| 0.10
412	| 5.50	| 5.54	| 0.04
413	| 1.93	| 1.96	| 0.03
414	| 3.21	| 3.31	| 0.10
415	| 4.91	| 5.00	| 0.09
416	| 5.18	| 5.37	| 0.19
417	| 5.00	| 4.78	| 0.21
418	| 0.68	| 0.69	| 0.01
419	| 2.17	| 2.10	| 0.07
420	| 6.34	| 6.37	| 0.02
421	| 5.73	| 5.92	| 0.19
422	| 5.31	| 5.22	| 0.09
423	| 4.19	| 4.15	| 0.04
424	| 1.95	| 1.96	| 0.01
425	| 6.64	| 6.44	| 0.20
426	| 3.89	| 3.90	| 0.01
427	| 5.33	| 5.42	| 0.08
428	| 4.57	| 4.61	| 0.04
429	| 2.97	| 2.95	| 0.02
430	| 2.79	| 2.72	| 0.07
431	| 0.49	| 0.43	| 0.07
432	| 1.70	| 1.58	| 0.12
433	| 3.23	| 3.37	| 0.14
434	| 1.00	| 0.94	| 0.06
435	| 2.03	| 1.94	| 0.09
436	| 1.92	| 1.93	| 0.01
437	| 6.55	| 6.51	| 0.04
438	| 3.81	| 3.92	| 0.10
439	| 5.12	| 5.02	| 0.10
440	| 6.32	| 6.39	| 0.07
441	| 4.97	| 4.90	| 0.06
442	| 2.92	| 2.93	| 0.01
443	| 5.97	| 6.13	| 0.16
444	| 1.70	| 1.80	| 0.10
445	| 0.67	| 0.61	| 0.06
446	| 2.20	| 2.17	| 0.03
447	| 4.62	| 4.69	| 0.07
448	| 2.66	| 2.66	| 0.00
449	| 4.37	| 4.33	| 0.04
450	| 4.67	| 4.77	| 0.10
451	| 3.39	| 3.43	| 0.05
452	| 1.53	| 1.41	| 0.12
453	| 4.31	| 4.22	| 0.09
454	| 2.54	| 2.51	| 0.03
455	| 3.56	| 3.38	| 0.19
456	| 1.07	| 1.01	| 0.06
457	| 2.00	| 1.95	| 0.05
458	| 2.77	| 2.84	| 0.07
459	| 5.64	| 5.70	| 0.06
460	| 3.29	| 3.23	| 0.06
461	| 6.00	| 6.09	| 0.09
462	| 2.95	| 2.96	| 0.01
463	| 2.49	| 2.51	| 0.02
464	| 5.49	| 5.59	| 0.10
465	| 4.90	| 4.75	| 0.15
466	| 3.91	| 3.76	| 0.15
467	| 3.93	| 4.05	| 0.11
468	| 6.03	| 6.05	| 0.03
469	| 5.05	| 5.09	| 0.03
470	| 5.51	| 5.30	| 0.21
471	| 1.28	| 1.25	| 0.03
472	| 3.70	| 3.74	| 0.04
473	| 1.97	| 1.95	| 0.02
474	| 1.66	| 1.64	| 0.02
475	| 6.09	| 6.18	| 0.09
476	| 4.68	| 4.88	| 0.20
477	| 3.60	| 3.43	| 0.18
478	| 6.39	| 6.37	| 0.02
479	| 4.39	| 4.20	| 0.19
480	| 5.42	| 5.56	| 0.13
481	| 0.52	| 0.52	| 0.00
482	| 0.52	| 0.51	| 0.01
483	| 3.91	| 3.88	| 0.03
484	| 4.23	| 4.31	| 0.08
485	| 2.75	| 2.75	| 0.00
486	| 2.46	| 2.49	| 0.04
487	| 0.04	| 0.04	| 0.00
488	| 3.24	| 3.33	| 0.09
489	| 3.32	| 3.26	| 0.06
490	| 1.65	| 1.57	| 0.08
491	| 1.47	| 1.47	| 0.01
492	| 2.68	| 2.68	| 0.00
493	| 1.17	| 1.17	| 0.00
494	| 1.10	| 1.06	| 0.04
495	| 5.40	| 5.42	| 0.02
496	| 2.45	| 2.42	| 0.04
497	| 2.24	| 2.32	| 0.08
498	| 3.88	| 3.82	| 0.06
499	| 2.37	| 2.34	| 0.02
500	| 3.81	| 3.87	| 0.06
501	| 2.74	| 2.64	| 0.10
502	| 0.90	| 0.89	| 0.02
503	| 5.76	| 5.62	| 0.14
504	| 5.00	| 4.96	| 0.04
505	| 5.67	| 5.68	| 0.01
506	| 4.30	| 4.25	| 0.04
507	| 2.53	| 2.53	| 0.00
508	| 6.01	| 5.78	| 0.23
509	| 2.01	| 1.98	| 0.03
510	| 4.20	| 4.35	| 0.15
511	| 2.16	| 2.11	| 0.06
512	| 1.82	| 1.73	| 0.09
513	| 5.76	| 5.77	| 0.01
514	| 0.70	| 0.73	| 0.03
515	| 0.28	| 0.28	| 0.00
516	| 0.60	| 0.60	| 0.01
517	| 5.38	| 5.46	| 0.09
518	| 5.53	| 5.70	| 0.17
519	| 2.82	| 2.69	| 0.13
520	| 4.61	| 4.57	| 0.05
521	| 4.51	| 4.66	| 0.14
522	| 3.98	| 4.04	| 0.06
523	| 1.99	| 1.94	| 0.05
524	| 0.38	| 0.39	| 0.01
525	| 0.66	| 0.66	| 0.00
526	| 1.70	| 1.75	| 0.05
527	| 5.50	| 5.35	| 0.15
528	| 1.16	| 1.15	| 0.01
529	| 1.10	| 1.07	| 0.03
530	| 2.32	| 2.39	| 0.07
531	| 1.05	| 0.99	| 0.06
532	| 2.04	| 2.00	| 0.04
533	| 4.42	| 4.44	| 0.02
534	| 4.42	| 4.30	| 0.12
535	| 6.36	| 6.35	| 0.01
536	| 2.15	| 2.17	| 0.02
537	| 1.38	| 1.41	| 0.03
538	| 2.27	| 2.23	| 0.05
539	| 1.09	| 0.99	| 0.10
540	| 4.78	| 4.84	| 0.06
541	| 1.34	| 1.26	| 0.07
542	| 0.32	| 0.34	| 0.02
543	| 2.80	| 2.85	| 0.05
544	| 4.96	| 4.83	| 0.13
545	| 3.34	| 3.38	| 0.04
546	| 5.95	| 6.13	| 0.18
547	| 6.05	| 5.85	| 0.20
548	| 4.55	| 4.55	| 0.01
549	| 5.57	| 5.45	| 0.12
550	| 0.05	| 0.05	| 0.00
551	| 2.80	| 2.77	| 0.02
552	| 6.19	| 6.17	| 0.02
553	| 5.49	| 5.54	| 0.05
554	| 3.05	| 3.05	| 0.00
555	| 0.12	| 0.12	| 0.00
556	| 3.59	| 3.58	| 0.01
557	| 1.61	| 1.60	| 0.01
558	| 2.23	| 2.33	| 0.10
559	| 3.81	| 3.68	| 0.13
560	| 2.79	| 2.76	| 0.03
561	| 5.96	| 6.05	| 0.09
562	| 0.49	| 0.47	| 0.01
563	| 0.50	| 0.52	| 0.02
564	| 2.08	| 2.15	| 0.08
565	| 3.87	| 3.80	| 0.07
566	| 0.09	| 0.07	| 0.01
567	| 3.93	| 4.01	| 0.08
568	| 3.79	| 3.66	| 0.13
569	| 2.57	| 2.60	| 0.02
570	| 2.24	| 2.32	| 0.08
571	| 0.66	| 0.61	| 0.05
572	| 0.66	| 0.65	| 0.01
573	| 3.07	| 3.13	| 0.06
574	| 2.06	| 2.04	| 0.02
575	| 3.49	| 3.45	| 0.04
576	| 6.17	| 6.01	| 0.16
577	| 1.80	| 1.77	| 0.04
578	| 2.22	| 2.18	| 0.04
579	| 3.64	| 3.65	| 0.01
580	| 3.78	| 3.66	| 0.12
581	| 1.69	| 1.64	| 0.05
582	| 3.07	| 3.13	| 0.06
583	| 5.30	| 5.37	| 0.07
584	| 3.83	| 3.81	| 0.02
585	| 5.17	| 5.21	| 0.04
586	| 0.91	| 0.93	| 0.02
587	| 2.89	| 2.81	| 0.08
588	| 3.44	| 3.58	| 0.15
589	| 4.41	| 4.39	| 0.02
590	| 3.45	| 3.45	| 0.00
591	| 2.61	| 2.54	| 0.07
592	| 3.32	| 3.32	| 0.00
593	| 1.74	| 1.77	| 0.03
594	| 0.85	| 0.84	| 0.01
595	| 4.30	| 4.29	| 0.01
596	| 6.17	| 6.16	| 0.01
597	| 5.23	| 5.12	| 0.11
598	| 2.81	| 2.77	| 0.04
599	| 6.48	| 6.34	| 0.14
600	| 0.48	| 0.48	| 0.00
601	| 1.25	| 1.26	| 0.01
602	| 1.88	| 1.77	| 0.10
603	| 3.64	| 3.59	| 0.05
604	| 0.16	| 0.18	| 0.02
605	| 4.60	| 4.61	| 0.01
606	| 5.49	| 5.56	| 0.08
607	| 5.83	| 5.90	| 0.06
608	| 5.13	| 5.12	| 0.01
609	| 3.23	| 3.19	| 0.05
610	| 2.35	| 2.29	| 0.06
611	| 6.02	| 6.02	| 0.01
612	| 0.71	| 0.70	| 0.01
613	| 4.23	| 4.22	| 0.01
614	| 5.07	| 5.09	| 0.02
615	| 2.48	| 2.53	| 0.05
616	| 5.60	| 5.63	| 0.03
617	| 5.96	| 5.93	| 0.03
618	| 3.09	| 3.14	| 0.05
619	| 4.48	| 4.49	| 0.01
620	| 3.25	| 3.07	| 0.18
621	| 4.13	| 3.98	| 0.16
622	| 4.16	| 4.12	| 0.04
623	| 1.50	| 1.44	| 0.06
624	| 0.01	| 0.01	| 0.00
625	| 2.62	| 2.69	| 0.07
626	| 3.35	| 3.29	| 0.06
627	| 0.79	| 0.77	| 0.02
628	| 1.35	| 1.33	| 0.02
629	| 0.62	| 0.58	| 0.04
630	| 2.17	| 2.22	| 0.06
631	| 3.02	| 3.17	| 0.16
632	| 5.09	| 5.17	| 0.08
633	| 4.49	| 4.52	| 0.03
634	| 0.38	| 0.39	| 0.01
635	| 5.36	| 5.31	| 0.04
636	| 4.60	| 4.59	| 0.01
637	| 1.97	| 1.99	| 0.03
638	| 4.78	| 4.79	| 0.01
639	| 3.02	| 2.94	| 0.09
640	| 1.71	| 1.65	| 0.06
641	| 5.99	| 5.82	| 0.17
642	| 5.22	| 5.16	| 0.06
643	| 3.73	| 3.64	| 0.10
644	| 5.86	| 5.81	| 0.05
645	| 6.20	| 6.14	| 0.06
646	| 1.94	| 1.85	| 0.08
647	| 5.36	| 5.63	| 0.27
648	| 4.15	| 4.02	| 0.14
649	| 2.14	| 2.08	| 0.07
650	| 0.78	| 0.78	| 0.00
651	| 5.56	| 5.53	| 0.03
652	| 1.78	| 1.86	| 0.08
653	| 4.58	| 4.52	| 0.06
654	| 4.33	| 4.32	| 0.01
655	| 3.22	| 3.23	| 0.01
656	| 1.04	| 1.02	| 0.02
657	| 2.14	| 2.26	| 0.12
658	| 4.94	| 4.92	| 0.02
659	| 5.18	| 5.00	| 0.19
660	| 1.42	| 1.43	| 0.00
661	| 1.26	| 1.28	| 0.02
662	| 4.04	| 4.03	| 0.01
663	| 1.84	| 1.87	| 0.02
664	| 5.79	| 5.67	| 0.12
665	| 4.74	| 4.76	| 0.02
666	| 6.25	| 6.10	| 0.15
667	| 6.37	| 6.34	| 0.03
668	| 1.42	| 1.41	| 0.00
669	| 2.91	| 2.92	| 0.01
670	| 0.44	| 0.43	| 0.02
671	| 0.59	| 0.59	| 0.00
672	| 5.63	| 5.77	| 0.14
673	| 2.98	| 2.95	| 0.03
674	| 5.45	| 5.37	| 0.07
675	| 3.05	| 3.00	| 0.04
676	| 0.29	| 0.30	| 0.01
677	| 3.50	| 3.34	| 0.16
678	| 2.27	| 2.23	| 0.04
679	| 3.89	| 3.85	| 0.04
680	| 1.78	| 1.81	| 0.03
681	| 4.23	| 4.19	| 0.03
682	| 2.33	| 2.37	| 0.04
683	| 4.87	| 4.77	| 0.11
684	| 4.96	| 5.03	| 0.06
685	| 2.16	| 2.18	| 0.02
